League,Division,Team,Payroll,RSW,RSL,RSWP,PSW,PSL,PSWP
NL,East,Marlins,37630735,955,987,0.492,11,6,0.647
NL,Central,Pirates,42725187,816,1124,0.421,0,0,0
AL,East,Rays,44626279,859,1082,0.443,10,11,0.476
NL,East,Nationals,47886266,848,1095,0.436,0,0,0
AL,Central,Royals,49816557,803,1140,0.413,0,0,0
AL,West,Athletics,53392335,1058,884,0.545,11,16,0.407
AL,Central,Twins,54641175,1020,923,0.525,5,22,0.185
NL,West,Padres,55895437,933,1012,0.48,1,6,0.143
NL,Central,Brewers,58434278,892,1050,0.459,1,3,0.25
NL,Central,Reds,58856196,938,1007,0.482,0,3,0
NL,West,Rockies,65904890,924,1021,0.475,8,7,0.533
AL,Central,Indians,67017220,982,962,0.505,10,11,0.476
AL,East,Blue Jays,69897229,974,969,0.501,0,0,0
AL,East,Orioles,74561126,842,1100,0.434,0,0,0
AL,Central,White Sox,76245629,1020,924,0.525,12,7,0.632
NL,West,D-Backs,76256203,970,974,0.499,15,16,0.484
AL,West,Rangers,79969827,961,983,0.494,8,11,0.421
NL,Central,Astros,81639036,1005,938,0.517,14,19,0.424
AL,Central,Tigers,82093735,879,1064,0.452,8,5,0.615
NL,West,Giants,82288960,1033,908,0.532,23,17,0.575
AL,West,Mariners,86805804,977,967,0.503,9,10,0.474
NL,Central,Cardinals,88025605,1074,868,0.553,33,31,0.516
NL,East,Phillies,88495136,1024,919,0.527,25,16,0.61
NL,East,Braves,90945750,1086,856,0.559,19,29,0.396
AL,West,Angels,91856756,1050,894,0.54,21,24,0.467
NL,Central,Cubs,96340928,949,993,0.489,6,12,0.333
NL,West,Dodgers,106759507,1019,925,0.524,9,14,0.391
NL,East,Mets,109724991,991,952,0.51,19,15,0.559
AL,East,Red Sox,122952275,1103,840,0.568,38,29,0.567
AL,East,Yankees,174493964,1158,781,0.597,68,46,0.596
